Status	STOCK NUMBER	VIN	Year	Make	Model	Miles	Price	Exterior Color	Interior Color	Description	NOTES		featured image	image 2	image 3	image 4	image 5	image 6 	image 7		CODE												
For Sale	1052	1G1PB5SG7E7352046	2014	Chevrolet	Cruze	103903	$9,999	DARK GREEN	Tan	one touch windows, folding side/driver mirror, cruise, 12v power outlet, 			https://drive.google.com/file/d/14nKcHrwgfPzk34H7WReO20nNZgbPDXoO/view?usp=drive_link	https://drive.google.com/file/d/1V1YvrqpskSHa7Fb19gGfWoLjPf9mpn_4/view?usp=drive_link	https://drive.google.com/file/d/1taYD4NiJHehVqH2yOvDncfxhXyWPUtMM/view?usp=drive_link	https://drive.google.com/file/d/13nj6gsMpG8Q0gUJcEOinJnlc67qPljkd/view?usp=drive_link	https://drive.google.com/file/d/1wlWne8TCQQABPkySaDIKNMv6Jc6PXZxG/view?usp=drive_link	https://drive.google.com/file/d/1ZViAX4rgbt3nbLH_OmyGM2Zg6cKcHCfU/view?usp=drive_link															
For Sale	1053	5GAKVCKD7FJ328533	2015	BUICK	ENCLAVE	113800	$14,999	RED	beige	Back up camera, heated/cooled seats, power everything			https://storage.googleapis.com/msgsndr/QjiQRR74D1pxPF7I8fcC/media/8917743c-1709-41eb-ab41-244dea63cd32.jpeg	https://storage.googleapis.com/msgsndr/QjiQRR74D1pxPF7I8fcC/media/cfd3936e-20cc-4858-bb65-9f257ffcdd3c.jpeg	https://storage.googleapis.com/msgsndr/QjiQRR74D1pxPF7I8fcC/media/0b08d17a-8440-4951-953b-c121a0d584ed.jpeg																		
Sold	1054	1FMCU0GX1EUD32464	2014	FORD	ESCAPE	89136	$10,999	WHITE	Tan				https://drive.google.com/uc?export=view&id=1QU3o16F2SttZiaGBSGRSp_4R1_WMqpDi	https://drive.google.com/uc?export=view&id=1wLv5Xs3gSaHWKSFVzQQVGzhn6D7soszP	https://drive.google.com/uc?export=view&id=1L3XZfEoC4taJiEwkb_t_SMVZreG2hYgF	https://drive.google.com/uc?export=view&id=140YtQsUourMdXcKnNdT1Qjb3AdHsPtM4	https://drive.google.com/uc?export=view&id=18DTgBqcOeAkYfKc644I2pBwaqUPEUTok																
													https://drive.google.com/uc?export=view&id=1y-UBx90V15x2P0vIqTUOk85s9ZF9Z5TC	https://drive.google.com/uc?export=view&id=1p-Wc7qGPZCl6AChaSKehcQu4-_nw75BT	https://drive.google.com/uc?export=view&id=1dy8K-aqnXB6qvhcVszmtKqDtm3DtnrDR	https://drive.google.com/uc?export=view&id=123CwYsiUU-2Okd8un0AvAzJxaxqeoCsI	https://drive.google.com/uc?export=view&id=1dTmTEFiFiTynh6fuxBQfcg49RYkmvEji																
													https://drive.google.com/uc?export=view&id=1b0JiRi8PuXevlLf5HHrZsmASxZ0raiFA	https://drive.google.com/uc?export=view&id=1LAfapM9z5KPhZmsKbAJwEW1krPr33l90	https://drive.google.com/uc?export=view&id=1navDL7VCWI8B9Ixj3lJWCQLHf0dGMyys	https://drive.google.com/uc?export=view&id=1L_6z5jtA1QhZVuWd3hwENug2XUAZ65Lw	https://drive.google.com/uc?export=view&id=1gnSKapwcLpexgiTYb2V5P998z3gTm9_b																
																																	
For Sale	1008	2FMGK5C87DBD26742	2013	Ford	Flex SEL	155359	$8,481	white	grey	The 2013 Ford Flex SEL offers a unique blend of style, comfort, and utility, with its distinctive boxy design, spacious seven-seat interior, and powerful V6 engine for robust performance. This model also boasts impressive technology features, including SYNC with MyFord Touch, dual-zone automatic climate control																							
																																	
																																	
																																	
